,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
10,"Điểm mua sắm lâu đời ở Quy Nhơn và các huyện thị lân cận. Đầy đủ và bình ổn giá. Vào dịp tết rất nhộn nhịp, nằm ngay trung tâm dễ tìm, có bus đi ngang.
",0,0,0,0,0,4
11,"Từ khắp nơi trên thế giới khi đến Việt Nam họ đều tìm đến với dịch vụ cho thuê xe máy Xuân Tính và đều rất hài lòng và giới thiệu cho bạn bè về dịch vụ này 👍👍👍ưu điểm của dịch vụ này là vừa sửa xe kết hợp cho thuê xe máy ,xe mới ,giá cả lại rẻ lại tư vấn các dịch vụ như lưu trú ăn uống miễn phí cho du khách",0,0,0,0,4,0
12,Phòng rộng. sạch sẽ. có thể ở tới 4 người,0,5,0,0,0,0
13,"Vị trí đep, ngay đối diện với cổng DH Quy Nhơn. Hơi nhỏ nhưng với vị trí như vậy thì cũng là quá tốt
",0,4,0,0,0,0
14,"Không gian rất sang trọng và ấm áp, nhân viên cũng rất nhiệt tình.",4,0,4,0,0,0
15,"Giường hơi mềm, không phù hợp lắm với người bị đau lưng",0,3,0,0,0,0
16,Có thể do dịch nên ít khách. Phòng có mùi mốc,0,2,0,0,0,0
17,Lên tầng 5 chơi bowling và xem phim tuy nhiên cảm thấy thất vọng. Hệ thống điều hòa không hoạt động gây cảm giác ngột ngạt và thiếu không khí,2,0,0,0,0,0
18,"Tôi thấy quán cần đào tạo lại nhân viên, để ý để review . Bản thân tôi sẽ không bao h quay lại.",1,0,1,0,0,0
19,"Có chỗ để xe máy ở tầng trệt, ở trong hẻm nhưng đường đủ rộng để xe 4 bánh vào tới nơi.",0,2,0,0,0,0
20,Một quán ăn không thể bỏ qua nếu đến Quy Nhơn ăn hải sản nha. Đồ ăn tươi ngon chế biến vừa vặn giá cả hợp lý cạnh quán Nghĩa Ghẹ. Ăn quán này vắng hơn mà phục vụ tận tình lắm.,0,0,0,5,0,0
21,"Đã từ bao giờ sân bay Phù Cát lại thuộc thành phố Quy Nhơn qua thông tin của các hãng hàng không. Nên đính chính lại để sai sót này không trở nên mặc nhiên đúng
",0,0,0,0,0,0
22,Đầu bếp Tan và nhân viên của mình rất thân thiện và niềm nở. Các món ăn chúng tôi nấu rất ngon với chỉ một vài thành phần được sử dụng. Rất khuyến khích một chuyến thăm.,5,0,0,5,0,0
23,"Đa dịch vụ. Đồ ăn tươi, chế biến ngon. Hải sản phong phú, giá ổn. Phục vụ cũng nhanh, nhân viên ít cười nhưng khá thân thiện, dễ thương. Canh nghêu chua , canh cải tôm, cá bóp chua rất ngon. Thỉnh thoảng cơm hơi cứng. Rau luộc xanh. Có xe đưa đón tại FLC, đây là điểm cộng cho quán. Dịch vụ du lịch Kỳ Co trọn gói. Ngoài ra, Hoàng Thao còn giúp bạn gọi xe đưa đón sân bay (giá cực tốt!)",5,0,5,5,5,0
24,"Nhà hàng có view đẹp, nhân viên Thành Long phục vụ nhiệt tình, thức ăn ổn, sẽ quay lại. Món bông cải dầu hào ăn rất tươi không có dầu mỡ.",5,0,5,5,0,0
25,Chợ bán hải sản tươi ngon nhưng giá hơi cao,0,0,0,0,0,4
26,"Rượu ngon, nam vô tửu như kỳ vô phong
",0,0,0,5,0,0
27,"Được nghỉ tết sớm nên mình và chị bạn hẹn nhau hú hí ở bobo Station Trần Cao Vân. Không gian ở đây đẹp nhưng mình thấy hơi chật, chỗ để xe cũng không rộng mấy, nên hơi bất tiện khi đông khách. Nhân viên ở đây thì khá nhiệt tình, đồ uống cũng đa dạng. Mình gọi một trà sữa ôlong, nước uống thơm mùi trà, nhưng hợt nhạt. Chị bạn thì khá hài lòng với thức uống của quán. Chắc quán khá đông nên bàn ghế bỏ sát sát nhau, nên thấy hơi bất tiện khi nói chuyện với nhau.",0,0,0,3,0,0
28,"Quán nhỏ nhỏ , xinh xinh . Deco quán khá lạ , kiểu deco của mấy quán cf ngày xưa . Chắc là quán coffe kiểu cổ nên chắc lấy tên 1990 là vậy . Nói chung là phong cách deco khá ổn , nhưng buổi tối thì ánh đèn khá mờ . Nhân viên phục vụ nhân nhẹn , thân thiện . Giá cả ổn so với mặt bằng thành phố Buổi tối thường có chương trình guitar và hát . Khách cũng có thể lên hát và đàn vô tư . Nước uống ngon . 👍 Thích quán ở chỗ quán khá yên tĩnh , đến đây học vào buổi chiều thì tuyệt luôn ❤️ Sẽ luôn luôn ủng hộ quán !!",0,0,0,5,0,0
29,"Nhiều dịch vụ xung quanh ks như massage, giặt ủi...rất tiện",4,0,0,0,0,0
30,"Lần đầu tiên ghé ăn nhưng rất hài lòng, chắc chắn là sẽ quay lại",0,0,0,5,0,0
31,"Cám ơn Bình Minh Tải cho mình trải nghiệm tốt. Xe dừng nghỉ ở trạm Xuân Hưng, cơm ăn rất ngon, ngồi thành nhóm như ăn tiệc ăn được nhiều món, vui và ngon miệng hơn. Giá ăn nằm trong giá vé rồi. Tài xế và anh đi cùng rất nhiệt tình, sắp xếp chổ cho khách ngồi ăn đủ bàn hết rồi hai ảnh mới bắt đầu dùng bữa. Xe chạy êm, ngủ rất ngon. Thông báo đến nơi rồi mà mình vẫn muốn ngủ nữa =]] Giường thì rộng rãi nha, thắt Seatbelt rồi thì tha hồ nằm thoải mái, giường nằm có massage nhiều chế độ nữa. Mình rất hài lòng.",0,0,0,0,5,0
32,Hẹn với đối tác nên đi kiếm quán nào chất chất mà view đẹp thì thấy quán này. Xung quanh toàn là nhà cao tầng nhưng nhìn quán cảm giác rất quán vườn. Xung quanh chỗ ngồi nào cũng có cây trồng mà ko phải cây nhỏ. Nên mát và rất đẹp. Ngồi trong đẹp theo phong cách tuổi teen.Có máy lạnh nên không hút thuốc. Ngồi trước thì thoáng mát view quá đẹp luôn. Tối bật đèn lên thì lung linh luôn. Cảm giác không có các tòa nhà xung quanh. Nước uống cũng ngon. Hài lòng.,0,0,0,4,0,0
33,"Vị trí đẹp, quản lý bộ phận lễ tân nhiệt tình, tận tình, chu đáo.",0,5,0,0,0,0
34,0,0,0,0,0,0,0
35,"Một chuyến đi quá thất vọng: mua vé 19h xuất bến. Nhưng nhà xe gọi có mặt 17 h lúc 16h 23p làm không kịp ăn uống trước, khi ra đón xe tói 18h50 phút mới có xe. Xe chở dư 1 khách. Chở hàng rất nhiều: trái cây ở Long Khánh ( 1h chờ lên trái cây) chạy tới Hàm thuận ăn tối lúc 24h: quá đói vì ko kịp ăn chiều, Đồ ăn không thể tưởng tượng nổi( giống như đồ ăn xe tù 20 năm trước) phở : bánh phở + nước ko sôi vài lát thịt ko chín ... Không tưởng tượng nổi Xe tiếp tục hành trình tới 7h sáng mới dừng ăn sáng và đi tolet khi khách la ó vì mắc vệ sinh. Ăn mì gói 40k khách tự trả, 12 trưa tới sông cầu ăn trưa khách tự trả. Tới 13h30 tới phù mỹ xuống xe. Hành trình kinh khủng: phong cách phụ vụ kiểu ko cần khách. Rất giận dữ. Hi vọng trong đời ko có chuyến xe lập lại. Rất may chưa đặt vé vào xe này. Số xe 51B- 29697 xe cty chơn mỹ thuê",0,0,0,0,1,0
36,"Địa điểm đáng tin cậy để du khách mua đặc sản lưu niệm, bất ngờ vì giá rẻ hơn nhiều so với các quán lân cận mà lại ngon hơn. Mực rim ở đây ngon quá mà rẻ hơn. Lần sau sẽ mua tiếp.
",0,0,0,0,0,5
37,"Lọt top 5 ngọn hải đăng trên 100 tuổi nổi tiếng, hải đăng Cù Lao Xanh sừng sững hiên ngang là biểu tượng đẹp cho tinh thần của người dân nơi đây quanh năm sống chung với sóng gió biển khơi. Trải qua bao thăng trầm lịch sử hải đăng vẫn luôn sáng đèn giúp việc định vị của tàu thuyền đánh bắt trên biển Bình Định và khu vực biển lân cận của Nam miền Trung. Vì vậy, ngọn hải đăng còn được gọi là đôi “mắt thần” của biển.
",5,0,0,0,0,0
38,"Đến Quy Nhơn khi cơn mưa vừa dứt, khí hậu mát mẻ. Ghé Mậu để cảm nhận cơm nhà. Quán bắt mắt, dễ tìm, lối decor riêng kiểu bao cấp, gần gũi. Quán sạch sẽ, món ăn nấu ngon, đậm, ấn tượng nhất là món mực muối rang thịt ba chỉ, rất đưa cơm. Món này mà mùa đông ở MB thì tốn cơm phải biết. Về phục vụ: khá nhanh nhẹn, lễ phép, nhiệt tình và dễ chịu. Đến Quy Nhơn, sau những ngày vi vu, thưởng thức hải sản thì Cơm Mậu chắc chắn là một địa chỉ tuyệt vời Chắc chắn sẽ đến Mậu nếu quay lại Quy Nhơn.",0,0,0,5,0,0
39,Dễ dàng tổ chức và tìm kiếm. Tôi cảm thấy an toàn. Xe thoải mái. Có nước. Lái xe dễ chịu - đi thẳng đến khách sạn. Tất cả đều tốt,0,0,0,0,5,0
40,"Có rặn san hô đẹp, Nước biển trong xanh, ngồi thuyền bè thưởng thức đồ biển rất tuyệt, giá ra hòn khô cũng vừa pải với một nơi du lích. Có điều là phòng thay đồ rất ít và ko có nước ngọt tắm lại
",5,3,0,0,0,0
41,"Diện tích rộng, đa dạng cây cối thực vật hoa cỏ,... Đa dạng các thể loại trò chơi cho thiếu nhi như đu quay lớn, tàu lượn siêu tốc, câu cá, xe điện đụng,đu quay ngựa,... Giá cả phải chăng",5,0,0,0,0,0
42,"Vị trí tiện lợi, gần các khu ăn uống vui chơi.",0,4,0,0,0,0
43,Vị trí gần biển nhưng do khách sạn nằm trong ngõ nên view biển căn góc không thực sự đẹp như trong hình,0,2,0,0,0,0
44,"Siêu thị Big c... Bán đủ đồ.. Người làm việc.. Đuổi hết là vừa.. Mất lịch sự.. Làm việc không tận tình.. Khách hàng là.. Rác.. Sẽ không bao giờ trở lại...
",0,0,0,0,0,1
45,"Quán trang trí cực dễ thương luôn. Tông vàng chủ đạo. Kem có rất nhiều vị cho thực khách lựa chọn. Mình thấy kem chuối và socola khá ngon. Lần gần đây nhất mình quay lại quán có ra thêm mấy vị kem mới, khá là tuyệt. Nhân viên khá thân thiện, tư vấn mỗi loại như thế nào. Còn có rất nhiều đồ ăn kèm khác như socola chip, bánh gấu, thạch....ăn kèm với kem là hết sảy Các món bánh ăn kèm ở đây cũng rất ngon. Kêu mỗi thứ một loại là cả bọn có thể ăn no nê. Một quán kem rất đáng thử cho những ai muốn du lịch đến thành phố Quy Nhơn.",0,0,0,5,0,0
46,"Biết được quan này qua foodyquynhon, lâu lâu về Bình Định nên ghé uống thử. Đầu tiên là không gian quán khá là oke, mình rất thích bàn ghế sắt bên ngoài, nhìn đẹp và dễ thương sao í!! ^.^"" Mình vào bên trong và chọn ngồi trên ghế nệm. Không gian bên trong khá oke chỉ có lúc order đợi hơi lâu. Mình vào lúc vắng khách nhưng nhân viên không biết làm gì một lúc sau mới cho mình order r lại đợi cả quãn thời gian làm đồ uống. Chắc tại mình vội nên mình hơi không hài lòng lắm về khoảng này. Nhưng đồ uống ngon. Giá cũng vừa phải!!! Nói chung sẽ còn quay lại !!!",0,0,0,4,0,0
47,"Khách sạn mới, sạch sẽ, ở vị trí thuận lợi. Nhân viên lễ tân và phục rất nhiệt tình. Mình rất thích cách trang trí phòng, đẹp mắt, đầy đủ tiện nghi.",0,5,0,0,0,0
48,"Lần trước di thấy ok nhưng lần đến Qui Nhơn ghé lần nữa thì thất vọng hẳn - Nhân viên phịc vụ chậm chạp , kêu món ăn xong dọn được vài món thì ngưng luôn , để ngồi ngó nhau chơi, nhắc hai ba lần mới bưng tiếp lên 1 món rồi lại ngưng - Thắc mắc thì trả treo, nói 1 tiếng cãi 1 tiếng ( nhân viên nam tròn tròn ) - Bực bội gì đâu - Thái dfooj phục vụ như vậy thì chả bao giờ ghé nữa",0,0,0,1,0,0
49,"Khách sạn có thể thuê gọi xe luôn cho mình, tuy nhiên xe hơi cũ, chạy hơi lọc xọc.",0,2,0,0,2,0
50,"Hải sản tươi ngon, giá cả thì phải chăng. Đi một lần về cứ muốn hẹn bạn trở lại thêm lần nữa.",0,0,0,5,0,0
51,"Các bạn đi du lịch nên mua hải sản ở đây, nơi đây tập trung đủ loại hải sản tươi ngon với giá cả phải chăng
",0,0,0,5,0,0
52,"Nhân viên phục vụ rất nhiệt tình, vui vẻ và lễ phép",0,0,5,0,0,0
53,Chú chủ khách sạn và nhân viên siêu dễ thương,0,4,0,0,0,0
54,"🔆 REVIEW QUY NHƠN - PHÚ YÊN 4 NGÀY 3 ĐÊM 🔆 - UPDATE PHẦN 2 Nghe đồn Quy Nhơn đẹp lắm, đồ ăn ngon mà rẻ lắm. Đính chính là tin đồn là đúng thiệt nha. Xách balo lên đi thôi 💙 ❌ Mình book Lang homestay Quy Nhon 1 phòng to 350k/1 ngày, 3 ngày 1050k. Ngày cuối cùng 12g là phải trả phòng nhưng mình ở thêm đến 4g mới trả chị chủ chỉ phụ phí thêm 50k thôi. Cực thích ở đây do đến sớm hơn dự định 7g sáng đã có mặt ở Quy Nhơn, chị gọi chổ cho thuê xe máy quy nhơn của anh Hoài bảo giao xe máy cho mình thuê xe máy đi ăn sáng rồi dọn phòng, 8g30 là mình đc nhận phòng rồi. ( K hề phụ phí gì hết) ❌ Mình đi xe Phương Trang, giá vé 265k x 4 = 1060k. Nên book vé xe sớm để nằm ở dưới sẽ khoẻ hơn nằm giường trên. Lúc đi mình book 7g45 tối, xuất phát từ Bến xe Miền Đông, lúc đến trên mạng ghi 10g sáng, nhưng mà 6g30 sáng đã đến rồi, đi tầm 10 -11 tiếng là đến. Nên canh để đặt xe cho hợp lý. Lúc về mình đặt xe lúc 5g chiều, 6g sáng hôm sau về đến Sài Gòn. (Quy Nhơn - Sg có trung chuyển, Sg-QN phải đi taxi ra BXMD) ❌Taxi từ Q8- BXMĐ 60k +taxi từ BX QN về homestay 100k + taxi từ BXMD về lại Q8 100k = 260k ❌Thuê xe máy 400k ( 3 ngày) + Đổ xăng 80k Do mình muốn đi Phú Yên nên thuê oto, chị chủ homestay cho thuê luôn nha. Xe 4 chỗ 800 + xăng 470 = 1270k ❌Mua đồ ăn vặt 100k, sợ trên xe đói nên mua dự trữ ❌3 nước suối lớn 8x3 = 24k, ở đây rất nóng nên khát nước suốt. Nên mua nước đem theo vì nước ở những nơi tham quan rất mắc.",0,4,0,3,3,0
55,"Ốc thập cẩm, ốc trộn giá từ 50k-70k Cháo hàu , cháo thập cẩm, ốc hương , sò điệp ...chế biến k thua nhà hàng Mọi người đi quy nhơn muốn ăn hải sản ngon và no hãy ghé quán này nhé.",0,0,0,5,0,0
56,"nhiều người trong số các makis đặc biệt có giọt mayonnaise trên đầu trang. vẫn còn hương vị tốt, nhưng tôi thích mà không có, 
khách hàng có thể đặt hàng mayonnaise ở bên nếu họ muốn. làm cho nó là phiên bản mặc định là hơi. . không phù hợp với tôi.",0,0,0,5,0,0
57,"Vừa mới ghé quán dùng 1 phần sushi tổng hợp, 2 trứng hấp và một số món chiên ( lo ăn quá, quên chụp hình). Cảm nhận đầu tiên là quán yên tĩnh, giống như ở Nhật kinh khủng, nhân viên thì dễ thương. Thật sự thích phong cách nhà hàng Nhật như thế này.",0,0,5,5,0,0
58,"Tôi đã ghé thăm Foodshop 45 trong nhiều năm và chưa bao giờ phải thất vọng. Ngồi ngay bên Hồ Trúc xinh đẹp và nổi tiếng, nơi John McCain bị bắn hạ, bạn có một tầm nhìn tuyệt vời, một bầu không khí tuyệt vời và một đội ngũ nhân viên yên tĩnh nhưng chu đáo. Các món ăn được đầu bếp Việt Nam chế biến 100% theo bối cảnh và phong cách Ấn Độ. Có nhiều nhà hàng Ấn Độ ở Hà Nội, có vẻ chính thống hơn, bởi vì họ là người Ấn Độ quản lý. Tuy nhiên, đã thử tất cả chúng, tôi vẫn quay trở lại nơi ám ảnh cũ của mình, Foodshop 45",0,0,4,4,0,0
59,"Khách sạn gần ở quảng trường, bãi biển, trung tâm, tuy nằm trong hẻm nhưng có ban công nhìn ra biển. Giá rẻ phòng tốt nhân viên + cô chủ dễ thương hiền lành, dưới ks có tạp hoá quán ăn cho thuê xe máy giá bình dân. Tiêu chuẩn dành cho các bạn tiết kiệm đây là sự lựa chọn tốt nhất",0,4,0,0,3,0
60,"Sân bay địa phương, nhưng sẽ là sân bay Quốc Tế (bay thẳng Trung Quốc) nên nâng cấp đẹp và hiện đại, sạch sẽ. Phòng chờ thương gia khá tiện nghi và rộng rãi. Hài lòng
",0,0,0,0,4,0
61,"Tôi đã đợi một lúc cho đến khi họ đến để hỏi tôi xem có gì sai với thức ăn không. Tôi lặp lại những gì tôi đã nói, rằng tôi đang đợi món cá mập nướng của mình.",1,0,0,0,0,0
62,"Vì vậy, nơi tuyệt đẹp, Trong khi bạn chờ xe buýt, bạn có thể uống cà phê tại công viên bên cạnh nơi này, công viên đó thật đẹp.",5,0,0,0,0,0
63,"Ố là la ... Đi sân bay mà mình gọi 4 chổ lạ được 7 chổ đón mà giá lại rẻ . Đúng là Uber Bình Định rồi .
",0,0,0,0,4,0
64,"Quán này mở cách đây 4 năm về trước rồi. Mình đến cũng khá nhiều lần rồi. Quán có không gian trang nhã, nhẹ nhàng mà vô cùng tinh tế. Mình thích kiểu không gian thế này. Cảm thấy rất bình yên,như bỏ quên xô bồ ở ngoài kia. Mà check in cũng rất ảo nữa. Đồ uống ở đây rất ngon và chất lượng, rất nhiều món át chủ bài ở đây như cà phê, trà, chè khúc bạch....Món nào cũng ngon cả, được pha chế rất là công phu, vị nào ra vị nấy, rất thơm ngon. Chung quy mình thấy rất đáng tiền.",0,0,0,5,0,0
65,"Dịch vụ rất tốt. Waitress giải thích các món ăn và kết hợp. Thực phẩm đến một cách kịp thời và được phục vụ nóng. 
Tất cả mọi thứ cần thiết để ăn các bữa ăn đã được phục vụ bởi các cô hầu bàn mà không cần phải hỏi, đủ tấm, bạc, khăn ăn và gia vị. Thức ăn rất ngon. Lớp vỏ trên bánh pizza đã được nướng hoàn toàn và rất trang nhã. Spaghetti và Pasta với sốt kem là rất tốt. Quản lý và cô phục vụ đã kiểm tra với chúng tôi trong suốt bữa ăn để xem mọi thứ có ổn không và nếu chúng tôi cần gì.",5,0,0,5,0,0
66,Quy Nhơn có một số siêu thị quy mô vừa và BigC là một trong số đó. Không biết ngôn ngữ địa phương có thể khiến bạn chậm mua hàng nếu thứ gì đó không có sẵn trên kệ. Mọi người rất hữu ích mặc dù. Quán trà rất tốt.,0,0,0,0,0,4
67,"Đứng trên Hải Đăng quan sát Cù Lao Xanh cực đẹp, nhưng cẩn thận vì có chó dữ nên phải gọi đt cho những người canh giữ Hải Đăng trước để họ xích chó lại
",4,0,0,0,0,0
68,"Nhân viên cực kì thân thiện ân cần, chu đáo và check in nhanh gọn.",0,5,0,0,0,0
69,"tôi đã đến và thưởng thức. nhà hàng phục vụ rất chuyên nghiệp, các món ăn hải sản đều tươi sống . nấu ăn rất ngon.",0,0,0,5,0,0
70,"Mình đi ăn ít khi review mà lần này phải đăng nhập vào để tăng view cho quán. Đi du lịch Quy Nhơn 2 ngày mà đây là quán mà nhóm mình ưng ý nhất, đồ ăn chế biến tươi ngon, phục vụ nhiệt tình, giá cả ok, ăn đứt mấy quán dọc bờ biển Xuân Diệu, ma không hiểu sao quán lại vắng nhỉ. Anh chủ rất dễ thương và tốt bụng, tụi mình để quên đồ đi được đoạn xa rồi mà anh chủ phóng xe chạy theo đưa trả lại, cảm động hết sức và thấy iu con người Quy Nhơn gê, hihi, sẽ giới thiệu cho bạn bè nếu đến Quy Nhơn",0,0,0,5,0,0
71,Đây là nhà hàng mà tôi rất thích và đã nhiều lần đưa gia đình và nhiều bạn bè đến đây.,0,0,4,0,0,0
72,"Mình ở FLC gọi điện thoại book chỗ trc,có xe đưa đón miễn phí. Nhân viên nhiệt tình,tuy nhiên vào thấy quán menu chưa có nhiều lựa chọn, có thể do mình đi vào mùa mưa bảo. Giá thì ko rẻ nhưng quán làm nhanh,hợp khẩu vị. Quán chỉ xuất hoá đơn trực tiếp có thu phí thêm 5% nhưng cách nói chuyện của nhân viên dễ thương ,giải thích rõ ràng để mình hiểu và chấp nhận thêm phí. Nhược điểm quán có nhiều ruồi ơ trên bàn,mấy bạn phục vụ biết ý điều chỉnh quạt công suất lớn,nhưng quán cũng nên xem để cải thiện tình hình.",0,0,5,3,0,0
73,"Tuy nhiên, nhà hàng cần cải thiện thêm chất lượng dịch vụ. Các món ăn lên còn chậm, kể cả những món không cần chế biến cầu kỳ, và nhân viên thỉnh thoảng còn quên/ ghi nhầm món khách gọi. Đỉnh điểm là tuần trước mình gọi phần bún chả, phát hiện có sâu trong đĩa rau sống. Tuy nhiên khi gọi nhân viên lại thì bạn nhân viên chỉ điềm nhiên nhìn, rồi nhặt chiếc lá có sâu mang đi. Tuyệt nhiên không có một lời xin lỗi hoặc đề nghị đổi phần ăn (phần rau) khác cho khách. Dù rằng ai cũng có lúc sơ suất, nhưng với một nhà hàng có phân khúc khách hàng cao cấp thì quy trình kiểm soát Vệ sinh an toàn thực phẩm, chuẩn bị đồ ăn và xử lý tình huống của nhân viên thế này theo mình là rất tệ.",2,0,2,2,0,0
74,Đã thử qua sữa tươi trân châu đường đen nhìu quán nhưng hôm nay mới uống thử của bobapop ! Có độ ngọt vừa phải cộng thêm vị béo của sữa nói chung tuyệt vời ông mặt trời ☀️ ! Nhân viên nhiệt tình và khá thân thiện vs không gian thoáng mát và sạch sẽ !!!,0,0,0,5,0,0
75,Nhân viên thật là ải :)) đừng để tui gặp lại tui mà gặp lại tui ỉa pẹc pẹc banh cái siêu thị =)))) 😏pủm pủm ỉa tám chồng 💩💩💩💩💩💩💩,0,0,0,0,0,1
76,Bữa sáng hơi ít món ăn. Khách sạn gần biển và có tầm nhìn đẹp.,0,0,0,2,0,0
77,Mình thích không gian ở đây. Rất thoáng và sạch sẽ. Không khí Đà Lạt mùa này rất mát mẻ.,0,4,0,0,0,0
78,"Thấy Foody Quy Nhơn giới thiệu nên cũng tìm đến đây ăn thử đặc sản Phù Mỹ - Bình Định. Quán nằm ở con đường nhỏ nên cũng hơi khó tìm. Quán rộng lắm, chia nhiều khu: khu ngồi bàn cao, bàn thấp, ngồi trong nhà, ngồi bên ngoài. Nhân viên phục vụ đông, nhanh nhẹn. Mình ăn món Bún rạm tô lớn 20k. Bún này lạ lắm, mang 1 tô bún khô kèm rau cùng chén nước rạm. Khi ăn thì sẽ chan vào tô bún, nếu thích ăn khô thì chan ít, mà thích ăn nước thì chan nhiều. Tô nước rạm nêm nếm gia vị đầy đủ rồi nên cũng khá ok. Rạm nhiều, đặc keo. Khi ăn cho thêm ớt trái, ớt bột đêr khỏi bị tanh. Một phần như vậy có cho thêm bánh tráng nướng để ăn kèm nữa. Tuỳ khẩu vị của mỗi người thôi nhưng theo mình món này rất bình thường, không đặc sắc.",0,0,0,3,0,0
79,Bữa sáng ngon nhưng chưa phong phú. Vị trí gần biển là điều mình thích nhất. Nhân viên hỗ trợ nhiệt tình từ lúc đặt phòng đến khi nhận phòng và trả phòng.,0,4,0,3,0,0
80,Thương hiệu chả ram tôm đất bình định nổi tiếng nhất,0,0,0,5,0,0
81,"Shop bán đồ đẹp, giá cả lại rất phù hợp. Đặc biệt thích nhất là chị shop rep ib nhanh mà lại rất dễ thương, tư vấn nhiệt tình. Mình sẽ mua đồ của shop dài dài
",0,0,0,0,0,5
82,"5 năm trước
Trung tâm thương mại Quy Nhơn,  07 Nguyễn Tất Thành , P.Lý Thường Kiệt ,tp Quy Nhơn . Luôn là nơi mua sắm đáng tin cậy của người dân tp Quy Nhơn. Ở măt trước xung quanh những shop thời trang , shop điện thoại di dộng.",0,0,0,0,0,4
