,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
16,"trên đường từ nội thành Quy nhơn ra Nhơn hội, Kỳ co khách bị nhiều đám người quấy rối , xin đểu , áp buộc sử dụng dịch vụ của chúng làm khách du lịch rất sợ. Đề nghị chính quyền xử lý sớm , ngay.",1,0,0,0,0,0
17,"Chợ bán hải sản rẻ, đa dạng, rất tươi. Đặc biệt đi chợ vào buổi chiều.
",0,0,0,0,0,4
18,"Gotour là công ty du lịch uy tín tại Quy Nhơn mà tôi từng biết, hướng dẫn viên ngoài nhiệt tình và vui vẻ , còn biết chụp ảnh cho khách hàng rất đẹp. Gia đình tôi hài lòng về chuyến đi vừa rồi. Hẹn gặp lại Gotour Quy Nhơn những dịp khác",4,0,0,0,0,0
19,"Khách sạn có view đẹp, vị trí ngay gần Trung tâm xét nghiệm ADN NOVAGEN ở 37 Trần Kim Xuyến nên nhóm sale hay tổ chức sự kiện tại đây. Phòng họp chuyên nghiệp, đầy đủ tiện nghi, nhân viên hỗ trợ nhiệt tình
",0,5,0,0,0,0
20,"Địa điểm: quán bán trong hẻm, ngồi mát, gần khu vực trung tâm. Phía bên ngoài hẻm thấy có bàn ngồi luôn. Món ăn: mình hay ăn ở đây, quán bán đủ món luôn, cháo lươn với miến lươn mình thích ăn ở đây nhất, cháo nấu rất nhừ mềm với ngọt, còn miến lươn ở đây ăn thơm, ko hề nghe mùi, nước dùng cũng ngon. Còn các món còn lại, mình thấy khách hay gọi xương bò, cái gì cũng xương bò, bún xương bò, miến xương bò, phở xương bò. Mình ăn xương bò rồi, nhưng mình vẫn hay ăn miến lươn với cháo lươn hơn. Phục vụ: quán bán đông, khách ăn kín bàn luôn nhưng dọn bàn với đem ra nhanh. Quán bán gia đình đi ăn nhiều. Giá: quán bán tô 25 ngàn, thấy đồng giá các loại. Bún giò 30 ngàn. Còn lại gọi thêm thấy thêm 5 ngàn một loại. Mình hay ăn quán này vì bán nước thấy ko bị say bột ngọt, là một điểm cộng lớn cho quán. Ăn nước ngọt từ xương nên thơm ngon.",0,0,0,5,0,0
21,"Đồ ăn ngon, không gian rộng rãi, nhân việt siu nhiệt tình dễ thương",0,0,0,5,0,0
22,"Mình thuê 3 xe 3 ngày còn được disconut 10% , xe đời mới, giá lại rẻ không như xe của khách sạn vừa cũ mà giá lại cao.",0,0,0,0,4,0
23,"Quán dễ tìm, không gian đẹp, lãng mạn. Nhân viên thân thiện. Món ăn ngon, pizza ngon, đặc biệt có phần thịt hun khói (không biết nhớ đúng không) rất ngon. Miếng thịt mềm, thơm, béo nhưng không ngấy. Sáng sáng thì có bún bò, tô bún đem ra sôi sùng sục, cũng ngon. Thức uống cũng rất vừa miệng. Giá cả hơi cao nhưng nếu xét ra thì hợp với chất lượng đồ ăn. ",0,0,0,4,0,0
24,"Thật tuyệt vời khi vừa có thể ngắm nhìn biển, núi và thành phố ngay tại khách sạn Apus. Mình thự sự rất hài lòng với những dịch vụ tại đây và nhân viên rất thân thiện. Nhất định sẽ quay lại đây",0,4,0,0,0,0
25,"Cơ sở hạ tầng đạt tiêu chuẩn, nội thất khang trang. Theo tôi nhận xét thì dịch vụ tại khách sạn Blue Sea cũng khá ổn vì đáp ứng được nhu cầu của gia đình tôi trong thời gian lưu trú tại đây từ vệ sinh phòng ốc, các bạn nhân viên phục vụ, vị trí cũng như giá cả.",0,5,0,0,0,0
26,Công viên cái méo gì mà đi khắp 1 vòng cũng ko thấy có cái thùng rác nào,2,0,0,0,0,0
27,"Sản phẩm giao đúng hẹn , ngon và nói chuyện với khách vui vẻ !
",0,0,0,0,0,5
28,Món ăn tạm ổn. Cocktail cũng ngon nhưng chưa đến mức xuất sắc và có thể vì quán khá đông nên bạn bantender cũng ko take care được hết order.,0,0,0,3,0,0
29,"Mình đến vào buổi sáng nhưng bất ngờ là quán khá là đông, ngồi chật kín. View khá đẹp, sáng, rất nổi bật . Nhân viên phục vụ nhiệt tình, thân thiện và khác chu đáo. Nhưng mà điểm trừ ở đây có lẽ do nước không được ngon lắm theo quan điểm của mình thì nước khá là nhạt, vị trà nhạt không được đậm lắm còn váng phô mai cũng ổn nhưng cũng khá nhạt không có đậm mùi . Nói chung tạm được còn giá cả thì cũng khá hợp lí, phù hợp với học sinh, sinh viên.",0,0,4,3,0,0
30,"Giá thì ngang bằng sài gòn, đồ thì không có gì hết, con tôm giống như con tép, kim chi thì ít, cải thảo thì không có... Phục vụ thì không được thân thiện. Menu hình ảnh không được đẹp ( không phải chê, chỉ là góp ý để quán khắc phục) Chúc quán ngày càng đông khách.",0,0,0,2,0,0
31,"Chuyến đi tuyệt vời, điểm tham quan tuyệt vời, công ty tuyệt vời & hướng dẫn viên du lịch rất tốt 'phat boy', 
người rất kiên nhẫn và dễ nói chuyện ... anh ấy sẽ đưa bạn đến tất cả những nơi tốt nhất để ăn! Tôi thật sự đề nghị tua du lịch này !!",5,0,0,0,0,0
32,"Nhân viên cực kì nhiệt tình thân thiện, đến đây massage nhiều lần rồi, lần nào cũng rất hài lòng. 'TRÒN' có một đội ngũ nhân viên có tay nghề cao, cảm giác cực kì thư giãn và thoải mái.",5,0,0,0,0,0
33,"dịch vụ trên xe rất ổn , có màn hình tivi, có nước, có sữa, xe chạy rất êm",0,0,0,0,5,0
34,"Trung tâm lớn đầu tiên ở quy nhơn bán đa dạng mặt hàng điện máy và điện lạnh. Trung tâm chỉ chưa làm website bán hàng bài bản nên ít có thông tin về sản phẩm cho người tiêu dùng xem trước trên mạng
",0,0,0,0,0,3
35,Nhiều lựa chọn để mua sắm nhưng nhân viên sales thì thô lỗ,0,0,0,0,0,1
36,Nhân viên không lịch sự với khách khi gọi món.,0,0,2,0,0,0
37,"Mình đi cả gia đình 1 xe ô tô, giữ xe 1 chiếc 30.000 , vé vào cổng 100.000/người lớn( không bao gồm bất kì dịch vụ nào khác ). Mình mua tổng cộng 5 vé người lớn, 1 vé trẻ em và 1 vé xe ô tô. Vào trong tốn 100.000 đi vòng vòng nắng muốn chết, dịch vụ thì cái gì cũng mắc kinh khủng, chặt chém thấy ghê.",1,0,0,0,0,0
38," - Ghế ngả bị hỏng trên cả hai xe buýt chúng tôi đã đi, dẫn đến việc phải dành toàn bộ hành trình ở vị trí nghiêng",0,0,0,0,1,0
39,Chỉ cần trở về từ một ổ taxi với công ty này. Tôi đã bị lừa bởi một trong những tài xế của họ khi đang thay đổi.,0,0,0,0,1,0
40,"Đặt phòng 2 giường,tầng trên cùng,hướng biển.Nhưng khi tới nhận phòng thì không nhận được phòng như vậy.Cô chủ không thân thiện",0,2,0,0,0,0
41,"Một địa điểm thú vị cho cả gia đình tận hưởng thời gian bên nhau. Mua sắm, ăn uống, khu vui chơi trẻ con, người lớn.. Không gian đẹp, rộng rãi, bãi đỗ xe miễn phí. Có nhiều nhà hàng Âu, Hàn, Nhật, Việt...đặt biệt khu vực bán đồ ăn của siêu thị nhiều món ngon với giá cả hợp lý. Mình thích nhất là sushi",4,0,0,0,0,0
42,"Nồi lẩu riêu cua chỉ có 1 đĩa rau và chưa có đồ nhúng đã là 169k rồi, nói chung là khá đắt",0,0,0,2,0,0
43,"Nhân viên lịch sự, chất lượng hàng hoá ok!
",0,0,0,0,0,4
44,"Thiết kế khách sạn đơn giản nhưng rất tinh tế, thanh lịch. View nhìn ra biển khá đẹp và đặc biệt phục vụ khá chuyên nghiệp.",0,4,0,0,0,0
45,"Đồ ăn ngon, giá cả hợp lý. Năm nào nhà mình đi FLC đều ăn 3 bữa ở đây hết 😏",0,0,0,5,0,0
46,"Trời se lạnh đi ăn lẩu nướng là sướng nhất. Quán này mở từ 4h chiều mà lúc mô cũng đông khách hết à. Quán nhỏ nhỏ nhưng khá sạch sẽ. Tầm chiều tối là đông khách lắm. Gía cũng phải chăng, chứ k đắt đỏ, so với mấy quán kia, giá quán này hơi nhỉn hơn xíu, nhưng khá là chất lượng, Đồ nướng ướp thấm. Lẩu cũng ngon nữa. Đi ăn mỗi người tầm hơn 70k là no banh bụng rầu. Phục vụ khá nhanh nhẹn.",0,0,4,5,0,0
47,"Bãi biển khá đẹp, nước biển trong xanh và cát trắng. Đằng sau tựa núi, trước mặt là eo biển khá dài để đi bộ, nhiều góc hình đẹp được tạo tác bởi vẻ đẹp địa chất tự nhiên.",4,0,0,0,0,0
48,"Chúng tôi đặt bàn cho 6 người cách đây vài ngày. Chúng tôi đến khoảng 7. 30 giờ tối và có ít hải sản sống. Tuy nhiên người quản lý đã cho chúng 
tôi 3 con cua đỏ cuối cùng. . . siêu 5 sao cua. Tôi đã đề nghị của anh ta không chọn những con cua xanh lớn hơn và nó không làm chúng tôi thất vọng. Chúng tôi đã nướng tôm và yêu nó. Nhà hàng phục vụ nước sốt cay xanh cay. . . hương vị đặc biệt.",0,0,0,4,0,0
49,"quá tệ, đặt vé số giường cũng như không, khách ưng ngồi ghế nào ngôi
",0,0,0,0,1,0
50,"Đã nghe giới thiệu nhiều. Hôm nay có dịp đến dùng, sẵn tiện thấy có lịch bán buffet nên chọn dùng buffet. Nhân viên tư vấn nhiệt tình, giá 288k cho 1 vé buffet cũng ổn đấy! Gia đình mìnhnkhen món ngon, vừa miệng! Sẽ quay lại dùng bữa nếu có dịp đến Quy Nhơn nữa.",0,0,0,5,0,0
51,"Nước và cafe tạm được nhưng phải gọi là quá đắt đỏ . Nước ở đây thấp nhất là 35k . Thái độ nhân viên thì không được thân thiện cho lắm . Tuy nhiên điểm cộng là view nhìn ra biển khá đẹp ( nhưng hơi lạnh ) , trong phòng điều hoà thì ấm hơn nhưng không có gì đặc sắc . Có thể lựa nhiều quán trong nội thành view đẹp hơn mà giá cả phải chăng hơn .",0,0,3,3,0,0
52,"Nhà hàng rất đẹp, món ăn ngon, nhân viên phục vụ dễ thương, đáng yêu,nam thanh nữ tú Tôi cảm thấy rất hài lòng về dịch vụ ở đây.",0,0,5,5,0,0
53,"Đi đợt tết nhưng giờ mới review. Lặn lội trời mưa đến quán cũng đã 8h tối, đập vào mắt là cảnh tượng thật khó quên, người làm ốc thì ngồi bên vệ đường, người ăn thì chen nhau trên nền đường ướt nhẹp, có lẽ do đông quá nên quán không quét dọn kịp. Nhưng tất cả được bỏ qua vì ốc ở đây rất ngon, rất vừa ăn, đặc biệt là ốc mỡ, mình khoái nhất là món muối ớt chanh và nước chấm làm từ gì không rõ, nhưng ngon cực. Tự phục vụ luôn, muốn ăn gì nói chủ làm, muốn xin gì tự lấy. Giá rất rẻ nhưng chất lượng rất tuyệt. Hi vọng ngày quay lại đúng lúc trời khô ráo 😁",0,0,0,5,0,0
54,"Mình đã đặt và lưu trú theo đoàn tại khách sạn. Giá cho đoàn rất ổn. Khách sạn mới và khá nhiều review tốt nên mình cũng yên tâm. Đòan đi chơi cả ngày về lúc nào phòng cũng được dọn rất sạch sẽ (có yêu cầu dọn phòng). Phòng được chêm tinh dầu thơm, không bay mùi sơn, mùi phòng bị kín, nên rất hài lòng (bình thường khách sạn khác ít chú ý vấn đề này). Chúc khách sạn kinh doanh phát đạt.
",0,5,0,0,0,0
55,Vị trí gần biển nhưng do khách sạn nằm trong ngõ nên view biển căn góc không thực sự đẹp như trong hình,0,2,0,0,0,0
56,"quán nhậu nhưng đồ ăn ngon, giá vừa phải. có nhiều loại hải sản để chọn lựa.",0,0,0,4,0,0
57,"Khu du lịch đẳng cấp, mà làm cái gờ giảm tốc quá khó hiểu, 1 đoạn khá dài, cảm thấy khó chịu, đi du lịch thoải mái tinh thần, chứ không phải đi cởi ngựa đâu mà làm vậy",3,0,0,0,0,0
58,"Khách tới hỏi mua máy mà không ai đến chăm sóc. Dịch vụ quá tệ mà lấy tiền khách nhanh nhưng giao hàng mất hơn 1 ngày, trong khi đó bán kính chỏ có 7km
",0,0,0,0,0,2
59,"🔆 REVIEW QUY NHƠN - PHÚ YÊN 4 NGÀY 3 ĐÊM 🔆 - UPDATE PHẦN 2 Nghe đồn Quy Nhơn đẹp lắm, đồ ăn ngon mà rẻ lắm. Đính chính là tin đồn là đúng thiệt nha. Xách balo lên đi thôi 💙 ❌ Mình book Lang homestay Quy Nhon 1 phòng to 350k/1 ngày, 3 ngày 1050k. Ngày cuối cùng 12g là phải trả phòng nhưng mình ở thêm đến 4g mới trả chị chủ chỉ phụ phí thêm 50k thôi. Cực thích ở đây do đến sớm hơn dự định 7g sáng đã có mặt ở Quy Nhơn, chị gọi chổ cho thuê xe máy quy nhơn của anh Hoài bảo giao xe máy cho mình thuê xe máy đi ăn sáng rồi dọn phòng, 8g30 là mình đc nhận phòng rồi. ( K hề phụ phí gì hết) ❌ Mình đi xe Phương Trang, giá vé 265k x 4 = 1060k. Nên book vé xe sớm để nằm ở dưới sẽ khoẻ hơn nằm giường trên. Lúc đi mình book 7g45 tối, xuất phát từ Bến xe Miền Đông, lúc đến trên mạng ghi 10g sáng, nhưng mà 6g30 sáng đã đến rồi, đi tầm 10 -11 tiếng là đến. Nên canh để đặt xe cho hợp lý. Lúc về mình đặt xe lúc 5g chiều, 6g sáng hôm sau về đến Sài Gòn. (Quy Nhơn - Sg có trung chuyển, Sg-QN phải đi taxi ra BXMD) ❌Taxi từ Q8- BXMĐ 60k +taxi từ BX QN về homestay 100k + taxi từ BXMD về lại Q8 100k = 260k ❌Thuê xe máy 400k ( 3 ngày) + Đổ xăng 80k Do mình muốn đi Phú Yên nên thuê oto, chị chủ homestay cho thuê luôn nha. Xe 4 chỗ 800 + xăng 470 = 1270k ❌Mua đồ ăn vặt 100k, sợ trên xe đói nên mua dự trữ ❌3 nước suối lớn 8x3 = 24k, ở đây rất nóng nên khát nước suốt. Nên mua nước đem theo vì nước ở những nơi tham quan rất mắc.",0,4,0,0,3,0
60,"Quầy tráng miệng ngon, trái cây ko tươi lắm, bánh ăn cũng đc, thích sương sa hột é 😂. + phải chờ lấy bánh khoảng 15-20 '.",0,0,0,3,0,0
61,"Quán này tối đông lắm nên tốt nhất là tới sớm chút nhé. Có khu vui chơi cho trẻ em nữa nên bố mẹ đến cafe với bạn bè cũng tiện, đỡ giữ mấy đứa nhỏ. Bữa mình uống trà đào cam sả, thấy ok đó chứ. k thua gì mấy quán chuyên trà sữa trà đào cho giới trẻ, miếng đào múp rụp. Uống ít ngọt thì nhớ dặn quán, mùa này uống vậy là ok rồi. có cả điểm tâm sáng nữa, kết nhất món bún đuôi bò á",0,0,0,5,0,0
62,"Mặc dù mình book phòng khá sớm nhưng đến nơi thì phải chuyển từ cơ sở này sang cơ sở khác ( không báo trước) và không được phòng view cao như ý. Bù lại các anh chị nhân viên rất dễ thương và nhiệt tình. Phòng sạch sẽ, phù hợp giá tiền, nếu lần sau lên lại Đà Lạt mình sẽ book tiếp.",0,4,0,0,0,0
63,"Chúng tôi đang ngồi trong một quán bar cơ bản trống rỗng, gọi đồ ăn - sau 45 phút chúng tôi yêu cầu hóa đơn đồ uống như chúng tôi nói chúng tôi sẽ rời đi. . . . .  họ nói không có thức ăn đang đến, chỉ 5 phút sau (20 phút sau) mất 65 phút để đến nơi.",0,0,1,0,0,0
64,"Quy trình đặt vé dễ dàng, tài xế đúng giờ và lịch sự, chúng tôi không phải lo lắng về bất cứ điều gì. 
Tôi luôn khuyên bạn nên chuyển nhà riêng vì dịch vụ vận chuyển ở đây thực sự rất tốt.",0,0,0,0,5,0
65,"Địa điểm đáng tin cậy để du khách mua đặc sản lưu niệm, bất ngờ vì giá rẻ hơn nhiều so với các quán lân cận mà lại ngon hơn. Mực rim ở đây ngon quá mà rẻ hơn. Lần sau sẽ mua tiếp.
",0,0,0,0,0,5
66,"Xe xịn giá hợp lý, tài xe thân thiện nhiệt tình. Giới thiệu được nhiều chỗ ăn ngon.",0,0,0,0,4,0
67,"Phải nói là rất không hài lòng, bàn ghế thì lắc lư, nhà hàng thì chật chội.",0,0,1,0,0,0
68,"Chợ được mệnh danh là chợ nhà giàu bởi thức ăn bán hơi đắt hơn so với lân cận. Do vậy mà thức ăn ở đây luôn tươi và ngon. Bạn sẽ ko thấy chuyện cá ươn hay mực cũ vì nếu thế sẽ ko có ai mua cả.
Mua rất tiện, đôi khi ko cần vào chợ( ở lề đường)
Còn thái độ phục vụ cực kì vui tính nha, vì tiền nào của đó nên hãy thận trọng khi trả giá, có thể chị bán hàng nổi cáu với bạn đấy.
Tóm lại thức ăn tươi ngon là tui thích rồi😄😄",0,0,0,0,0,4
69,Nơi tuyệt vời với một bầu không khí đẹp và trang trí! Món ngon Việt Nam. Ngoài ra các món ăn phương Tây có sẵn. Đội ngũ trẻ vô cùng thân thiện và hữu ích. Rất khuyến khích!,0,0,5,0,0,0
70,"Khách sạn đẹp, trang phục nhân viên sang trọng hơn nhiều ks khác, cách đối xử với nhân viên của ban giám đốc tốt
",0,5,0,0,0,0
71,"Quán này nhỏ nhưng trang trí quán khá là xinh xắn. Menu cũng đa dạng nhiều loại, thạch đồ khá là phong phú, giá cả theo mình là rẻ hơn so với SG nhìu :)) Trà chanh trà tắc ở đây pha phải nói là ngon, mình uống trà sữa mà cứ lăm le mấy ly trà đó của mấy đứa bạn Quán có nhận deliver luôn, và giao hàng cũng khá là nhanh và đúng giờ Quán bán mấy loại snack ngon ngon ko ah, tám tám rồi ăn snack rồi uống trà uống sữa thấy đúng bộ dễ sợ luôn",0,0,0,5,0,0
72,"Không gian phòng khá thoải mái, sạch sẽ, nhân viên khách sạn khá thân thiện.",0,5,0,0,0,0
73,Đây là quán mình đến ăn với số lần nhiều nhất. Nhân viên phục vụ thân thiện dễ thương. - và cho mình thưởng thức món yêu thích nhất của mính nơi đây đó chính là bò nướng á nha.,0,0,4,0,0,0
74,Đồ ăn khá ok. Hàu phô mai ko phải kiểu đút lò; gỏi rong biển hải sản ngon. Tôm hùm ăn rất dai ; giòn.:)),0,0,0,5,0,0
75,Tôi được mời đến nơi này và được cho biết là thức ăn ngon. Thực ra món ăn rất ngon. Thiết kế và trang trí rất đẹp.,0,0,0,5,0,0
76,"Nếu mọi người đi du lịch, tránh sự bực mình thì tránh nhà hàng này, phục vụ cực thiếu chuyên nghiệp, ko quá đông nhưng gọi nhân viên vâng dạ xong mất hút. Bực mình, đồ ăn thì quá bình thường.",0,0,1,2,0,0
77,"Còn hôm nay, gọi giao hàng, mình note nhiều cà phê và không dặn ít ngọt thì ly nước chỉ có mùi cà phê đậm hơn 1 tí, nhưng độ ngọt thì không thay đổi là mấy và không có vị caramel, hẳn là nhân viên quên cho syrup rồi.",0,0,0,2,0,0
78,"Hết nói nổi nhân viên của Big C, không hề giải thích là siêu thị có thay đổi mà chưa kịp cập nhật thông báo hay do bạn đó nhầm mà cứ cải cố là em không sai còn đưa bảng tênthách thức khách hàng làm gì thì làm...Haizzz",0,0,0,0,0,1
79,"nhân viên nhiệt tình, mình có con nhỏ check in sớm, nhân viên hỗ trợ cho mình nhận được phòng lúc 10 giờ sáng mà k thêm phụ thu gì cả",0,5,0,0,0,0
80,Nay mình mua 1 hộp Kimbab ở siêu thị. và khi về nhà ăn thì nó đã bị hỏng. mặc dù ghi thức ăn dùng trong ngày nhưng ko thể ăn được nữa. rất mong bigc khắc phục điều này,0,0,0,0,0,1
81,"Tour du lịch của đà nẵng open tour rất uy tín, xe mới, hướng dẫn viên nhiệt tình. Tour trọn gói, bao gồm vé cáp treo bà nà rồi mà giá rất rẻ, thanks các bạn!",5,0,0,0,0,0
82,Nhìn từ ngoài vào không ai nghĩ đây là quán coffe vì có rất nhiều hoa. không gian quán cũng đẹp sang trọng. Nước khá nhiều.,0,0,5,0,0,0
83,"Chúng tôi đã ở Nhật Bản năm ngoái và bữa ăn tối nay chúng tôi sẽ tốn nhiều tiền hơn ở đó. Chúng tôi không thể lỗi bữa ăn mọi thứ đều đúng, 
các nhân viên trẻ và nhiệt tình, môi trường xung quanh là tốt. Nếu bạn ở Quy bào và thích món ăn Nhật thì không thể bỏ qua Namsushi. Một thức ăn thực sự tuyệt vời.",0,0,5,5,0,0
84,"Năm nào cũng vào chơi nghỉ ngơi. Nước rất mát lại còn có cá theo massage nhột muốn xỉu Khi vào nên đi thuyền để ngắm cảnh 2 bên. Đi vào sớm để thuê được nhà sàn đẹp có bãi cát để tắm Hãy cẩn thận đừng ra xa nhé. Năm nào cũng phải trục vớt xác vì bị nước cuốn vào hóc đá, các hang ngầm bên dưới. Đẹp là vậy nhưng ẩn nhiều nguy hiểm các tảng đá rất trơn",4,0,0,0,0,0
85,Hồng trà vải kem Cheese thì vị rất nhạt và không thấy được mùi vải đâu hết.,0,0,0,1,0,0
86,"Quán đông khách nhưng phục vụ chưa chuyên nghiệp. Thức ăn cũng bình thường, nhân viên phục vụ không tốt lắm!",0,0,0,2,0,0
87,"Thiết kế của NH rất đẹp, rộng rải nhưng ấm cúng. phục vụ dễ thương, món ăn cực đa dạng: từ đồ rừng,gia cầm, salad... Chất lượng món ăn cực ngon nhưng giá rất phải chăng. Có vài điểm cần cải tiến : thời gian lên món khá lâu ( rất lâu) dù hôm đó không phải full bàn. khoảng cách chờ đợi của giữa các món khoảng 15 -20 phút. Món sơn dương nhúng dấm thì da rất cứng vì cắt dầy, không thể ăn được nhưng bù lại húp nước lẩu cũng ấp áp. Có món xúc xích sake, gà nướng da giòn rất ngon. món chả cá cơm cháy thì khá thôi không như quán giới thiệu. Nói chung là đáng đồng tiền, sẽ quay lại nhiều lần nữa",0,0,3,3,0,0
88,"Hiện  tại đã tu sửa xong, tuy nhiên loại hình nghệ thuật này phổ biến ở vùng nông thôn Bình Định hơn là thành phố, đáng buồn là người dân thành phố chưa có sự quan tâm đúng mức đến loại hình nghệ thuật đặc sắc này",4,0,0,0,0,0
89,"Điểm nổi bật là các viên đá xếp chồng và tròn tròn tựa quả trứng, bước lên rất êm chân. Tuy nhiên, bãi nhỏ chỉ đủ để chụp hình, không tắm được.
",3,0,0,0,0,0
90,"bánh có vị ngọt vừa phải, giá phải chăng, phù hợp với biếu tặng nếu đến du lịch Bình định ~ quà xứ nẫu
",0,0,0,4,0,0
91,Thực đơn có nhiều món ăn từ Châu Á. Thức ăn ngon nhưng hơi đắt. Dịch vụ của chúng tôi không thực sự thuộc loại thân thiện với xã hội nên vâng.,0,0,0,4,0,0
92,"Team mình vừa thuê bên bạn 3 chiếc xe, xe các bạn giao đến còn khá mới, xe tốt và mình thích nhất là cách tư vấn của a chủ, a ấy rất nhiệt tình vui vẻ hướng dẫn cho team mình rất nhiều điểm chơi và ăn uống khá rẻ tại Đà Nẵng. Qua đây team mình cảm ơn a ấy rất nhiều.",0,0,0,0,5,0
93,"Tới lúc nào quán cũng đông khách hết😢 toàn phải đặt bàn trước thôi. Nhưng mà bù lại là đồ ăn ngon lắm nè, nv phục vụ tận tình take care khách tốt lắm luôn. Giá cũng khá là ổn, gọi vài món 3ng ăn là le lưỡi rồi nha. Nói chung là đồ ăn ngon quá đii🥰",0,0,0,5,0,0
94,"Không gian quán nhỏ nhưng với cách bài trí hài hòa, thiết kế hiện đại không tạo cảm giác bức bối. Giữa quán có cây xanh vô cùng thú vị, đem lại cho khách cảm giác thoải mái, hòa hợp với thiên nhiên, lãng mạn và đầy cảm hứng. Bên ngoài nhìn vô thì cảm giác rất ấm cúng với đèn vàng nhè nhẹ Kensi có nước uống ngon, thưởng thức một ly Hồng trà chanh dây thanh mát vị chua nhẹ, đánh tan nóng bức trong người. Nhân viên phục vụ lịch sự, dễ thương, bạn Bartender thì hơi nhút nhát, nhưng pha chế nước rất chăm chút.",0,0,5,5,0,0
